Number of bears => 5
5
Size of berry area => 200
200
Year      Bears     Berry     Tourists  
1         5         200.0     50000     
2         3         214.1     0         
3         2         259.9     0         
4         2         334.2     0         
5         3         429.7     0         
6         3         521.7     0         
7         4         633.5     40000     
8         4         723.8     40000     
9         4         827.0     40000     
10        5         944.9     50000     

Min:      2         200.0     0         
Max:      5         944.9     50000     
